Name,Input Length (Bytes),Compress Time (MS),Decompress Time (MS),Compression Ratio (%)
System.IO Brotli - Repeating str small (1024 chars),1024,0.54,0.01,1.37
System.IO Brotli - Repeating str large (1024 chars),1024,0.54,0.01,3.42
System.IO Brotli - Random str (2056 chars),2056,1.14,0.02,75.54
System.IO Brotli - Repeating str small (2056 chars),2056,0.63,0.01,0.68
System.IO Brotli - Repeating str large (2056 chars),2056,0.54,0.02,1.70
System.IO Brotli - Random str (4096 chars),4096,1.94,0.02,75.02
System.IO Brotli - Repeating str small (4096 chars),4096,0.83,0.02,0.39
System.IO Brotli - Repeating str large (4096 chars),4096,0.68,0.02,0.90
System.IO Brotli - Random str (10000 chars),10000,4.53,0.04,74.73
System.IO Brotli - Repeating str small (10000 chars),10000,1.42,0.04,0.16
System.IO Brotli - Repeating str large (10000 chars),10000,1.14,0.03,0.37
System.IO Brotli - Random str (50000 chars),50000,28.84,0.19,74.62
System.IO Brotli - Repeating str small (50000 chars),50000,4.21,0.13,0.03
System.IO Brotli - Repeating str large (50000 chars),50000,2.61,0.15,0.07
System.IO Brotli - Random str (100000 chars),100000,56.31,0.42,74.60
System.IO Brotli - Repeating str small (100000 chars),100000,9.75,0.23,0.02
System.IO Brotli - Repeating str large (100000 chars),100000,4.70,0.19,0.04
System.IO Brotli - YGO binder url eg1,154,1.00,0.02,89.61
System.IO Brotli - YGO binder url eg2,159,0.84,0.01,82.39
System.IO Brotli - YGO binder data raw eg1,341,1.40,0.02,77.42
System.IO Brotli - YGO binder data raw eg2,66,1.33,0.01,106.06
BZip2 - Large JSON,15580785,1695.32,346.48,7.52
BZip2 - Random str (8 chars),8,0.58,0.03,637.50
BZip2 - Repeating str small (8 chars),8,0.80,19.35,525.00
BZip2 - Repeating str large (8 chars),8,0.71,0.27,587.50
BZip2 - Random str (20 chars),20,0.83,0.26,315.00
BZip2 - Repeating str small (20 chars),20,0.76,0.26,215.00
BZip2 - Repeating str large (20 chars),20,0.79,0.25,275.00
BZip2 - Random str (100 chars),100,0.77,0.25,134.00
BZip2 - Repeating str small (100 chars),100,0.81,0.24,46.00
BZip2 - Repeating str large (100 chars),100,0.75,0.23,71.00
BZip2 - Random str (256 chars),256,0.77,0.23,111.72
BZip2 - Repeating str small (256 chars),256,0.99,0.23,17.19
BZip2 - Repeating str large (256 chars),256,0.84,0.22,30.08
BZip2 - Random str (512 chars),512,0.83,0.24,95.31
BZip2 - Repeating str small (512 chars),512,1.95,0.21,8.79
BZip2 - Repeating str large (512 chars),512,1.45,0.28,16.41
BZip2 - Random str (1024 chars),1024,1.02,0.30,86.04
BZip2 - Repeating str small (1024 chars),1024,5.63,0.21,4.39
BZip2 - Repeating str large (1024 chars),1024,5.54,0.24,8.40
BZip2 - Random str (2056 chars),2056,1.29,0.31,81.13
BZip2 - Repeating str small (2056 chars),2056,21.76,0.40,2.29
BZip2 - Repeating str large (2056 chars),2056,16.97,0.26,4.38
BZip2 - Random str (4096 chars),4096,1.87,0.47,78.25
BZip2 - Repeating str small (4096 chars),4096,6.68,0.61,1.56
BZip2 - Repeating str large (4096 chars),4096,2.47,0.15,2.83
BZip2 - Random str (10000 chars),10000,3.07,0.79,76.23
BZip2 - Repeating str small (10000 chars),10000,15.75,0.41,0.92
